"U:0","U:1","U:2","epsilon","k","nut","p","tmp<kEpsilon:G>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.34483,-0.347319,4.26876e-20,48.9285,0.497434,0.00046017,-0.209165,13.4426,1,0.0840667,0.104067,0.02,0
9.30167,-0.355322,1.4561e-20,49.9753,0.503081,0.000460986,0.0720782,14.3368,1,0.0849333,0.104933,0.02,0
9.25769,-0.363119,-1.86011e-20,51.0193,0.508701,0.000461823,0.35604,15.2511,1,0.0858,0.1058,0.02,0
9.21247,-0.370579,-5.09701e-20,52.0647,0.514307,0.000462708,0.643822,16.203,1,0.0866667,0.106667,0.02,0
9.16584,-0.377598,-2.78992e-20,53.112,0.519897,0.000463647,0.935244,17.2006,1,0.0875333,0.107533,0.02,0
9.11852,-0.384376,8.85105e-22,54.1538,0.525459,0.000464619,1.22853,18.2156,1,0.0884,0.1084,0.02,0
9.06984,-0.39065,-1.87891e-20,55.196,0.531023,0.000465683,1.52473,19.281,1,0.0892667,0.109267,0.02,0
9.02019,-0.396507,-2.80415e-20,56.2336,0.536573,0.000466822,1.82251,20.3809,1,0.0901333,0.110133,0.02,0
8.96997,-0.402101,-3.12989e-20,57.2631,0.542096,0.000468005,2.12133,21.4946,1,0.091,0.111,0.02,0
8.91826,-0.406976,-6.30687e-21,58.2921,0.547635,0.00046932,2.42142,22.678,1,0.0918667,0.111867,0.02,0
8.86605,-0.411537,9.72801e-21,59.3109,0.553156,0.000470704,2.72165,23.8785,1,0.0927333,0.112733,0.02,0
8.81311,-0.41566,1.24446e-20,60.3209,0.558672,0.000472186,3.02203,25.11,1,0.0936,0.1136,0.02,0
8.75914,-0.419127,1.38733e-20,61.3243,0.564189,0.000473781,3.32171,26.3975,1,0.0944667,0.114467,0.02,0
8.70486,-0.422306,1.33854e-20,62.3156,0.569683,0.000475435,3.62092,27.6953,1,0.0953333,0.115333,0.02,0
8.64963,-0.424794,5.72373e-21,63.2958,0.575196,0.000477256,3.91851,29.0526,1,0.0962,0.1162,0.02,0
8.59397,-0.426837,-4.63372e-21,64.2641,0.580688,0.000479149,4.21452,30.436,1,0.0970667,0.117067,0.02,0
8.53794,-0.42849,-1.72771e-20,65.22,0.586155,0.000481104,4.50916,31.8374,1,0.0979333,0.117933,0.02,0
8.48117,-0.429384,-2.75389e-20,66.16,0.591656,0.000483264,4.80022,33.3062,1,0.0988,0.1188,0.02,0
8.4243,-0.430001,-3.26394e-20,67.0849,0.597129,0.00048548,5.0898,34.7781,1,0.0996667,0.119667,0.02,0
8.3669,-0.429928,-2.13335e-20,67.995,0.602599,0.000487828,5.37539,36.3007,1,0.100533,0.120533,0.02,0
8.30932,-0.4294,-2.54428e-21,68.8871,0.608063,0.000490293,5.65792,37.8506,1,0.1014,0.1214,0.02,0
8.25159,-0.428465,2.2152e-20,69.7619,0.613519,0.000492861,5.93771,39.4207,1,0.102267,0.122267,0.02,0
8.19355,-0.426815,2.54852e-20,70.6163,0.618974,0.000495588,6.212,41.0468,1,0.103133,0.123133,0.02,0
8.13559,-0.424924,1.80188e-20,71.454,0.6244,0.000498369,6.48435,42.6697,1,0.104,0.124,0.02,0
8.07741,-0.422308,-3.46136e-20,72.2674,0.62985,0.000501366,6.75032,44.3559,1,0.104867,0.124867,0.02,0
8.01935,-0.419377,-7.84598e-20,73.0605,0.635261,0.000504428,7.01317,46.046,1,0.105733,0.125733,0.02,0
7.96133,-0.415976,-1.15036e-19,73.8307,0.640639,0.000507593,7.27137,47.7597,1,0.1066,0.1266,0.02,0
7.90342,-0.41207,-1.06315e-19,74.5763,0.646015,0.000510913,7.52403,49.5101,1,0.107467,0.127467,0.02,0
7.8457,-0.407914,-7.06087e-20,75.304,0.65137,0.000514306,7.77401,51.2613,1,0.108333,0.128333,0.02,0
7.78818,-0.403106,1.07855e-19,75.9905,0.65669,0.00051792,8.01597,53.0582,1,0.1092,0.1292,0.02,0
7.73093,-0.398137,2.46647e-19,76.6604,0.661972,0.000521569,8.25589,54.8406,1,0.110067,0.130067,0.02,0
7.67402,-0.392633,1.13612e-19,77.3036,0.667214,0.000525341,8.48826,56.6532,1,0.110933,0.130933,0.02,0
7.61746,-0.386902,-5.06173e-20,77.9238,0.672417,0.000529186,8.71716,58.4644,1,0.1118,0.1318,0.02,0
7.5613,-0.380808,-2.40511e-19,78.5147,0.677577,0.000533148,8.94047,60.2931,1,0.112667,0.132667,0.02,0
7.50564,-0.374398,-1.90596e-19,79.0698,0.682686,0.000537255,9.15831,62.1185,1,0.113533,0.133533,0.02,0
7.45039,-0.367766,2.6743e-20,79.5989,0.687755,0.000541462,9.37246,63.9353,1,0.1144,0.1344,0.02,0
7.39584,-0.36079,1.11061e-19,80.1088,0.692703,0.000545626,9.57929,65.7396,1,0.115267,0.135267,0.02,0
7.34164,-0.353709,1.54207e-19,80.6081,0.69761,0.000549789,9.78425,67.5255,1,0.116133,0.136133,0.02,0
7.28833,-0.346274,1.16161e-19,81.0655,0.702482,0.000554154,9.98022,69.3793,1,0.117,0.137,0.02,0
7.23537,-0.338767,1.04598e-19,81.5036,0.70734,0.000558612,10.1747,71.2171,1,0.117867,0.137867,0.02,0
7.18335,-0.330986,3.27093e-19,81.8633,0.712192,0.000563553,10.3614,73.0536,1,0.118733,0.138733,0.02,0
7.13182,-0.323119,4.18466e-19,82.2264,0.716988,0.000568407,10.5456,74.8532,1,0.1196,0.1396,0.02,0
7.0812,-0.315083,1.71803e-19,82.597,0.721673,0.000573084,10.7235,76.5937,1,0.120467,0.140467,0.02,0
7.03125,-0.306956,-8.12605e-20,82.9459,0.726288,0.000577789,10.8977,78.3367,1,0.121333,0.141333,0.02,0
6.98209,-0.298721,-3.37806e-19,83.2694,0.730819,0.000582524,11.0671,80.0844,1,0.1222,0.1422,0.02,0
6.9338,-0.290412,-2.32035e-19,83.5274,0.735264,0.000587535,11.2316,81.7986,1,0.123067,0.143067,0.02,0
6.88621,-0.282037,1.80769e-19,83.7401,0.739652,0.000592747,11.3925,83.4919,1,0.123933,0.143933,0.02,0
6.83969,-0.273642,3.14327e-19,83.9051,0.743878,0.000598026,11.5478,85.1394,1,0.1248,0.1448,0.02,0
6.79375,-0.265218,3.03993e-19,84.0538,0.748042,0.000603328,11.7005,86.7704,1,0.125667,0.145667,0.02,0
6.74904,-0.256837,1.68645e-19,84.1021,0.75214,0.000609234,11.8471,88.39,1,0.126533,0.146533,0.02,0
6.70477,-0.248439,-1.06769e-20,84.1317,0.75624,0.000615299,11.992,90.0087,1,0.1274,0.1474,0.02,0
6.66151,-0.240133,-5.07533e-19,84.2268,0.760174,0.000620887,12.1304,91.5928,1,0.128267,0.148267,0.02,0
6.61771,-0.231801,-1.03677e-18,84.3803,0.764075,0.000626357,12.2679,93.2384,1,0.129133,0.149133,0.02,0
6.57565,-0.22363,-1.19471e-18,84.4484,0.767681,0.00063198,12.3986,94.5854,1,0.13,0.15,0.02,0
6.53388,-0.21544,-1.33353e-18,84.5092,0.771268,0.000637634,12.5288,95.9079,1,0.130867,0.150867,0.02,0
6.494,-0.207486,-8.32112e-19,84.56,0.774434,0.000642704,12.6523,96.9232,1,0.131733,0.151733,0.02,0
6.45433,-0.199505,-3.29253e-19,84.6104,0.777599,0.000647786,12.7755,97.9397,1,0.1326,0.1526,0.02,0
6.41657,-0.191814,-7.21314e-19,84.7024,0.78035,0.000651926,12.8924,98.9755,1,0.133467,0.153467,0.02,0
6.379,-0.184095,-1.04742e-18,84.7832,0.783121,0.00065618,13.009,100.013,1,0.134333,0.154333,0.02,0
6.34334,-0.176689,-9.91113e-19,84.6058,0.785726,0.000661975,13.1197,100.915,1,0.1352,0.1552,0.02,0
6.30786,-0.169256,-9.37122e-19,84.435,0.78835,0.000667771,13.2301,101.816,1,0.136067,0.156067,0.02,0
6.2743,-0.162166,-4.21421e-19,84.2573,0.790749,0.000673317,13.3349,102.459,1,0.136933,0.156933,0.02,0
6.24088,-0.155046,5.12584e-20,84.0863,0.793174,0.000678871,13.4394,103.118,1,0.1378,0.1578,0.02,0
6.20942,-0.148298,4.66624e-19,83.9405,0.79532,0.000683846,13.5386,103.669,1,0.138667,0.158667,0.02,0
6.17803,-0.141509,8.88481e-19,83.7982,0.797509,0.000688876,13.6377,104.241,1,0.139533,0.159533,0.02,0
6.14861,-0.135132,5.41794e-19,83.4648,0.799255,0.000694636,13.7316,104.661,1,0.1404,0.1604,0.02,0
6.11924,-0.128712,2.118e-19,83.1423,0.801054,0.000700418,13.8254,105.101,1,0.141267,0.161267,0.02,0
6.09174,-0.122701,5.23683e-21,82.8572,0.80264,0.000705465,13.9145,105.507,1,0.142133,0.162133,0.02,0
6.06435,-0.116665,-2.39873e-19,82.5874,0.804273,0.000710486,14.0033,105.929,1,0.143,0.163,0.02,0
